PERFIL;IPD;PD;FAMA;ENGAJ;VALENCIA;MOD;RANKING;INTERESSE
Jair Bolsonaro;7752497;400000;295772;400000;385612;400000;1;400000
Luciano Huck;4265833;400000;400000;185540;377937;137829;2;141894
Lula;3680000;400000;194693;138546;252397;191920;3;282922
Arthur Lira;3659025;400000;340155;106547;400000;154618;4;145918
Rodrigo Maia;3250048;400000;196148;163877;112207;291566;5;148460
Guilherme Boulos;3165186;400000;234332;133965;197187;262734;6;117857
Ciro Gomes;2931187;400000;192188;138579;298244;172663;7;149902
Fernando Haddad;2600308;400000;166553;129659;219863;219805;8;114796
Joao Doria;2184852;400000;139046;125080;199466;121722;9;169368
Sergio Moro;2059456;400000;100000;134925;100000;229031;10;118572
Flavio Dino;1864218;400000;157379;105350;250471;114436;11;100000
Luiza Trajano;1603197;400000;175755;100025;100000;100066;12;119101
Rodrigo Pacheco;1578680;400000;142387;100527;100000;100000;13;145650
Alexandre Kalil;1563787;400000;166187;100000;100000;100000;14;121166
Jair Bolsonaro;7883408;400000;314250;400000;399485;400000;1;400000
Luciano Huck;4280303;400000;400000;202224;354920;142590;2;132977
Lula;3909417;400000;199821;166219;251790;214933;3;270052
Guilherme Boulos;3638908;400000;214617;153713;349242;287609;4;112937
Arthur Lira;3439352;400000;310359;108359;400000;147227;5;139709
Ciro Gomes;3101652;400000;194964;145392;278818;210247;6;144787
Rodrigo Maia;2813361;400000;238361;154702;112204;173733;7;147659
Fernando Haddad;2485722;400000;177407;130607;227470;184507;8;112109
Joao Doria;2247729;400000;162625;124255;187316;118930;9;166971
Sergio Moro;2002377;400000;100000;144924;100000;217536;10;108688
Flavio Dino;1902167;400000;158097;107671;249502;118972;11;100000
Rodrigo Pacheco;1587868;400000;148173;100502;100000;100000;12;141872
Alexandre Kalil;1530738;400000;165475;100000;100000;100000;13;115953
Luiza Trajano;1319854;400000;127537;100046;100000;100057;14;113982
Jair Bolsonaro;7895120;400000;316831;400000;398684;400000;1;400000
Luciano Huck;4482532;400000;400000;229304;360713;142727;2;138777
Lula;3767456;400000;206381;162298;252279;201831;3;254331
Alexandre Kalil;3442524;400000;168321;159081;242698;341280;4;112727
Guilherme Boulos;3211722;400000;213445;135233;327136;240831;5;108863
Arthur Lira;3156393;400000;285421;103526;400000;131744;6;131806
Ciro Gomes;2943663;400000;194779;138592;314559;181417;7;134730
Rodrigo Maia;2794013;400000;279542;137596;111867;151794;8;143049
Fernando Haddad;2329878;400000;181911;123962;214018;164817;9;110582
Joao Doria;2233682;400000;168806;120831;190650;114657;10;164612
Sergio Moro;1947696;400000;100000;120760;100000;226804;11;115140
Flavio Dino;1849284;400000;157712;104676;250414;111952;12;100000
Rodrigo Pacheco;1494406;400000;138216;100555;100000;100000;13;134544
Luiza Trajano;1234133;400000;115403;100000;100000;100041;14;110192
Jair Bolsonaro;7993272;400000;334818;400000;400000;400000;1;400000
Luciano Huck;4543688;400000;400000;236944;370055;143142;2;137506
