CATEGORIA,PERFIL,DIA,MES,ANO,IPD,PD,FAMA,ENGAJ,VALENCIA,MOD,RANKING,META,INTERESSE
Person. Nacionais - Tracking',Jair Bolsonaro,14,1,2021,  77.52497 ,  4.00000 ,  2.95772 ,  4.00000 ,  3.85612 ,  4.00000 ,1,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  4.00000 
Person. Nacionais - Tracking',Luciano Huck,14,1,2021,  42.65833 ,  4.00000 ,  4.00000 ,  1.85540 ,  3.77937 ,  1.37829 ,2,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.41894 
Person. Nacionais - Tracking',Lula,14,1,2021,  36.80000 ,  4.00000 ,  1.94693 ,  1.38546 ,  2.52397 ,  1.91920 ,3,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  2.82922 
Person. Nacionais - Tracking',Arthur Lira,14,1,2021,  36.59025 ,  4.00000 ,  3.40155 ,  1.06547 ,  4.00000 ,  1.54618 ,4,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.45918 
Person. Nacionais - Tracking',Rodrigo Maia,14,1,2021,  32.50048 ,  4.00000 ,  1.96148 ,  1.63877 ,  1.12207 ,  2.91566 ,5,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.48460 
Person. Nacionais - Tracking',Guilherme Boulos,14,1,2021,  31.65186 ,  4.00000 ,  2.34332 ,  1.33965 ,  1.97187 ,  2.62734 ,6,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.17857 
Person. Nacionais - Tracking',Ciro Gomes,14,1,2021,  29.31187 ,  4.00000 ,  1.92188 ,  1.38579 ,  2.98244 ,  1.72663 ,7,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.49902 
Person. Nacionais - Tracking',Fernando Haddad,14,1,2021,  26.00308 ,  4.00000 ,  1.66553 ,  1.29659 ,  2.19863 ,  2.19805 ,8,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.14796 
Person. Nacionais - Tracking',João Doria,14,1,2021,  21.84852 ,  4.00000 ,  1.39046 ,  1.25080 ,  1.99466 ,  1.21722 ,9,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.69368 
Person. Nacionais - Tracking',Sergio Moro,14,1,2021,  20.59456 ,  4.00000 ,  1.00000 ,  1.34925 ,  1.00000 ,  2.29031 ,10,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.18572 
Person. Nacionais - Tracking',Flávio Dino,14,1,2021,  18.64218 ,  4.00000 ,  1.57379 ,  1.05350 ,  2.50471 ,  1.14436 ,11,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.00000 
Person. Nacionais - Tracking',Luiza Trajano,14,1,2021,  16.03197 ,  4.00000 ,  1.75755 ,  1.00025 ,  1.00000 ,  1.00066 ,12,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.19101 
Person. Nacionais - Tracking',Rodrigo Pacheco,14,1,2021,  15.78680 ,  4.00000 ,  1.42387 ,  1.00527 ,  1.00000 ,  1.00000 ,13,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.45650 
Person. Nacionais - Tracking',Alexandre Kalil,14,1,2021,  15.63787 ,  4.00000 ,  1.66187 ,  1.00000 ,  1.00000 ,  1.00000 ,14,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.21166 
Person. Nacionais - Tracking',Jair Bolsonaro,14,1,2021,  78.83408 ,  4.00000 ,  3.14250 ,  4.00000 ,  3.99485 ,  4.00000 ,1,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  4.00000 
Person. Nacionais - Tracking',Luciano Huck,14,1,2021,  42.80303 ,  4.00000 ,  4.00000 ,  2.02224 ,  3.54920 ,  1.42590 ,2,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.32977 
Person. Nacionais - Tracking',Lula,14,1,2021,  39.09417 ,  4.00000 ,  1.99821 ,  1.66219 ,  2.51790 ,  2.14933 ,3,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  2.70052 
Person. Nacionais - Tracking',Guilherme Boulos,14,1,2021,  36.38908 ,  4.00000 ,  2.14617 ,  1.53713 ,  3.49242 ,  2.87609 ,4,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.12937 
Person. Nacionais - Tracking',Arthur Lira,14,1,2021,  34.39352 ,  4.00000 ,  3.10359 ,  1.08359 ,  4.00000 ,  1.47227 ,5,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.39709 
Person. Nacionais - Tracking',Ciro Gomes,14,1,2021,  31.01652 ,  4.00000 ,  1.94964 ,  1.45392 ,  2.78818 ,  2.10247 ,6,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.44787 
Person. Nacionais - Tracking',Rodrigo Maia,14,1,2021,  28.13361 ,  4.00000 ,  2.38361 ,  1.54702 ,  1.12204 ,  1.73733 ,7,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.47659 
Person. Nacionais - Tracking',Fernando Haddad,14,1,2021,  24.85722 ,  4.00000 ,  1.77407 ,  1.30607 ,  2.27470 ,  1.84507 ,8,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.12109 
Person. Nacionais - Tracking',João Doria,14,1,2021,  22.47729 ,  4.00000 ,  1.62625 ,  1.24255 ,  1.87316 ,  1.18930 ,9,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.66971 
Person. Nacionais - Tracking',Sergio Moro,14,1,2021,  20.02377 ,  4.00000 ,  1.00000 ,  1.44924 ,  1.00000 ,  2.17536 ,10,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.08688 
Person. Nacionais - Tracking',Flávio Dino,14,1,2021,  19.02167 ,  4.00000 ,  1.58097 ,  1.07671 ,  2.49502 ,  1.18972 ,11,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.00000 
Person. Nacionais - Tracking',Rodrigo Pacheco,14,1,2021,  15.87868 ,  4.00000 ,  1.48173 ,  1.00502 ,  1.00000 ,  1.00000 ,12,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.41872 
Person. Nacionais - Tracking',Alexandre Kalil,14,1,2021,  15.30738 ,  4.00000 ,  1.65475 ,  1.00000 ,  1.00000 ,  1.00000 ,13,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.15953 
Person. Nacionais - Tracking',Luiza Trajano,14,1,2021,  13.19854 ,  4.00000 ,  1.27537 ,  1.00046 ,  1.00000 ,  1.00057 ,14,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.13982 
Person. Nacionais - Tracking',Jair Bolsonaro,14,1,2021,  78.95120 ,  4.00000 ,  3.16831 ,  4.00000 ,  3.98684 ,  4.00000 ,1,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  4.00000 
Person. Nacionais - Tracking',Luciano Huck,14,1,2021,  44.82532 ,  4.00000 ,  4.00000 ,  2.29304 ,  3.60713 ,  1.42727 ,2,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.38777 
